UNDERLYING,SYMBOL,FEB-19,MAR-19,APR-19
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,800,800,800
LARSEN & TOUBRO LTD.                ,LT        ,375,375,375
LUPIN LIMITED                       ,LUPIN     ,700,700,700
MAHINDRA & MAHINDRA LTD             ,M&M       ,1000,1000,1000
INDIAN OIL CORP LTD                 ,IOC       ,3500,3500,3500
M&M FIN. SERVICES LTD               ,M&MFIN    ,1250,1250,1250
MANAPPURAM FINANCE LTD              ,MANAPPURAM,6000,6000,6000
MARICO LIMITED                      ,MARICO    ,2600,2600,2600
IDBI BANK LIMITED                   ,IDBI      ,10000,10000,10000
MARUTI SUZUKI INDIA LTD.            ,MARUTI    ,75,75,75
UNITED SPIRITS LIMITED              ,MCDOWELL-N,1250,1250,1250
MULTI COMMODITY EXCHANGE            ,MCX       ,700,700,700
MAHANAGAR GAS LTD.                  ,MGL       ,600,600,600
MINDTREE LIMITED                    ,MINDTREE  ,600,600,600
MRF LTD                             ,MRF       ,10,10,10
NBCC (INDIA) LIMITED                ,NBCC      ,8000,8000,8000
NESTLE INDIA LIMITED                ,NESTLEIND ,50,50,50
MAX FINANCIAL SERV LTD              ,MFSL      ,1200,1200,1200
NTPC LTD                            ,NTPC      ,4000,4000,4000
ORACLE FIN SERV SOFT LTD.           ,OFSS      ,150,150,150
OIL INDIA LTD                       ,OIL       ,3399,3399,3399
ORIENTAL BANK OF COMMERCE           ,ORIENTBANK,7000,7000,7000
ADANI POWER LTD                     ,ADANIPOWER,20000,20000,20000
PAGE INDUSTRIES LTD                 ,PAGEIND   ,25,25,25
PIRAMAL ENTERPRISES LTD             ,PEL       ,302,302,302
POWER FIN CORP LTD.                 ,PFC       ,6200,6200,6200
PIDILITE INDUSTRIES LTD             ,PIDILITIND,500,500,500
RAYMOND LTD                         ,RAYMOND   ,800,800,800
RELIANCE COMMUNICATIONS L           ,RCOM      ,34000,34000,34000
REC LIMITED                         ,RECLTD    ,6000,6000,6000
PC JEWELLER LTD                     ,PCJEWELLER,6500,6500,6500
RELIANCE INFRASTRUCTU LTD           ,RELINFRA  ,1300,1300,1300
REPCO HOME FINANCE LTD              ,REPCOHOME ,1100,1100,1100
SREI INFRASTRUCTURE FINAN           ,SREINFRA  ,12000,           ,           
SRF LTD                             ,SRF       ,500,500,500
SIEMENS LTD                         ,SIEMENS   ,550,550,550
SHRIRAM TRANSPORT FIN CO.           ,SRTRANSFIN,600,600,600
STRIDES PHARMA SCI LTD              ,STAR      ,1100,1100,1100
SUN PHARMACEUTICAL IND L            ,SUNPHARMA ,1100,1100,1100
TATA CONSULTANCY SERV LT            ,TCS       ,250,250,250
SUN TV NETWORK LIMITED              ,SUNTV     ,1000,1000,1000
TATA COMMUNICATIONS LTD             ,TATACOMM  ,1000,1000,1000
TATA ELXSI LIMITED                  ,TATAELXSI ,400,400,400
TATA MOTORS LIMITED                 ,TATAMOTORS,2000,2000,2000
TATA POWER CO LTD                   ,TATAPOWER ,9000,9000,9000
TECH MAHINDRA LIMITED               ,TECHM     ,1200,1200,1200
VEDANTA LIMITED                     ,VEDL      ,2300,2300,2300
TITAN COMPANY LIMITED               ,TITAN     ,750,750,750
TORRENT PHARMACEUTICALS L           ,TORNTPHARM,500,500,500
TORRENT POWER LTD                   ,TORNTPOWER,3000,3000,3000
TV18 BROADCAST LIMITED              ,TV18BRDCST,13000,13000,13000
TVS MOTOR COMPANY  LTD              ,TVSMOTOR  ,1000,1000,1000
UJJIVAN FIN. SERVC. LTD.            ,UJJIVAN   ,1600,1600,1600
ULTRATECH CEMENT LIMITED            ,ULTRACEMCO,200,200,200
UNION BANK OF INDIA                 ,UNIONBANK ,7000,7000,7000
UPL LIMITED                         ,UPL       ,1200,1200,1200
WIPRO LTD                           ,WIPRO     ,2400,2400,2400
WOCKHARDT LIMITED                   ,WOCKPHARMA,900,900,900
YES BANK LIMITED                    ,YESBANK   ,1750,1750,1750
ZEE ENTERTAINMENT ENT LTD           ,ZEEL      ,1300,1300,1300
AMBUJA CEMENTS LTD                  ,AMBUJACEM ,2500,2500,2500
ASHOK LEYLAND LTD                   ,ASHOKLEY  ,4000,4000,4000
AXIS BANK LIMITED                   ,AXISBANK  ,1200,1200,1200
BANK OF INDIA                       ,BANKINDIA ,6000,6000,6000
BEML LIMITED                        ,BEML      ,700,700,700
BERGER PAINTS (I) LTD               ,BERGEPAINT,2200,2200,2200
COAL INDIA LTD                      ,COALINDIA ,2200,2200,2200
DCB BANK LIMITED                    ,DCBBANK   ,4500,4500,4500
GAIL (INDIA) LTD                    ,GAIL      ,2667,2667,2667
GUJ STATE FERT & CHEM LTD           ,GSFC      ,4700,4700,4700
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,3500,3500,3500
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,600,600,600
HINDUSTAN ZINC LIMITED              ,HINDZINC  ,3200,3200,3200
INFIBEAM AVENUES LIMITED            ,INFIBEAM  ,4000,4000,4000
JINDAL STEEL & POWER LTD            ,JINDALSTEL,2250,2250,2250
JUSTDIAL LTD.                       ,JUSTDIAL  ,1400,1400,1400
KAVERI SEED CO. LTD.                ,KSCL      ,1500,1500,1500
KARNATAKA BANK LIMITED              ,KTKBANK   ,4700,4700,4700
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,1100,1100,1100
MOTHERSON SUMI SYSTEMS LT           ,MOTHERSUMI,2850,2850,2850
MRPL                                ,MRPL      ,7000,7000,7000
NIIT TECHNOLOGIES LTD               ,NIITTECH  ,750,750,750
NMDC LTD.                           ,NMDC      ,6000,6000,6000
OIL AND NATURAL GAS CORP.           ,ONGC      ,3750,3750,3750
PUNJAB NATIONAL BANK                ,PNB       ,7000,7000,7000
POWER GRID CORP. LTD.               ,POWERGRID ,4000,4000,4000
PVR LIMITED                         ,PVR       ,400,400,400
THE RAMCO CEMENTS LIMITED           ,RAMCOCEM  ,800,800,800
RBL BANK LIMITED                    ,RBLBANK   ,1200,1200,1200
RELIANCE POWER LTD.                 ,RPOWER    ,16000,16000,16000
STEEL AUTHORITY OF INDIA            ,SAIL      ,12000,12000,12000
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,1500,1500,1500
SHREE CEMENT LIMITED                ,SHREECEM  ,50,50,50
THE SOUTH INDIAN BANK LTD           ,SOUTHBANK ,33141,33141,33141
SUZLON ENERGY LIMITED               ,SUZLON    ,76000,76000,76000
TATA GLOBAL BEVERAGES LTD           ,TATAGLOBAL,2250,2250,2250
TATA STEEL LIMITED                  ,TATASTEEL ,1061,1061,1061
VOLTAS LTD                          ,VOLTAS    ,1000,1000,1000
BAJAJ FINSERV LTD.                  ,BAJAJFINSV,125,125,125
BANK OF BARODA                      ,BANKBARODA,4000,4000,4000
BOSCH LIMITED                       ,BOSCHLTD  ,30,30,30
CEAT LIMITED                        ,CEATLTD   ,400,400,400
CESC LTD                            ,CESC      ,550,550,550
DLF LIMITED                         ,DLF       ,2600,2600,2600
GRASIM INDUSTRIES LTD               ,GRASIM    ,750,750,750
IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,12000,12000,12000
JET AIRWAYS (INDIA) LTD.            ,JETAIRWAYS,2200,2200,2200
TATA CHEMICALS LTD                  ,TATACHEM  ,750,750,750
TATA MOTORS DVR 'A' ORD             ,TATAMTRDVR,3800,3800,3800
EICHER MOTORS LTD                   ,EICHERMOT ,25,25,25
ENGINEERS INDIA LTD                 ,ENGINERSIN,4100,4100,4100
ESCORTS INDIA LTD                   ,ESCORTS   ,1100,1100,1100
IDFC LIMITED                        ,IDFC      ,13200,13200,13200
IFCI LTD                            ,IFCI      ,35000,35000,35000
IRB INFRA DEV LTD.                  ,IRB       ,3200,3200,3200
ARVIND LIMITED                      ,ARVIND    ,2000,2000,2000
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,8000,8000,8000
NCC LIMITED                         ,NCC       ,8000,8000,8000
PETRONET LNG LIMITED                ,PETRONET  ,3000,3000,3000
RELIANCE CAPITAL LTD                ,RELCAPITAL,1500,1500,1500
STATE BANK OF INDIA                 ,SBIN      ,3000,3000,3000
SYNDICATE BANK                      ,SYNDIBANK ,15000,15000,15000
UNITED BREWERIES LTD                ,UBL       ,700,700,700
KAJARIA CERAMICS LTD                ,KAJARIACER,1300,1300,1300
DABUR INDIA LTD                     ,DABUR     ,1250,1250,1250
GMR INFRASTRUCTURE LTD.             ,GMRINFRA  ,45000,45000,45000
L&T FINANCE HOLDINGS LTD            ,L&TFH     ,4500,4500,4500
RELIANCE INDUSTRIES LTD             ,RELIANCE  ,500,500,500
V-GUARD IND LTD.                    ,VGUARD    ,3000,3000,3000
FEDERAL BANK LTD                    ,FEDERALBNK,7000,7000,7000
NHPC LTD                            ,NHPC      ,27000,27000,27000
BIRLASOFT LIMITED                   ,BSOFT     ,2250,2250,2250
JAIPRAKASH ASSOCIATES LTD           ,JPASSOCIAT,55000,55000,           
